lag,correlation,p_value,ETF
-1.0,,,PWRD
0.0,,,PWRD
1.0,,,PWRD
-20.0,,,ROBO
-19.0,,,ROBO
-18.0,,,ROBO
-17.0,,,ROBO
-16.0,,,ROBO
-15.0,,,ROBO
-14.0,,,ROBO
-13.0,,,ROBO
-12.0,,,ROBO
-11.0,,,ROBO
-10.0,,,ROBO
-9.0,,,ROBO
-8.0,,,ROBO
-7.0,,,ROBO
-6.0,,,ROBO
-5.0,,,ROBO
-4.0,,,ROBO
-3.0,,,ROBO
-2.0,,,ROBO
-1.0,,,ROBO
0.0,,,ROBO
1.0,,,ROBO
2.0,,,ROBO
3.0,,,ROBO
4.0,,,ROBO
5.0,,,ROBO
6.0,,,ROBO
7.0,,,ROBO
8.0,,,ROBO
9.0,,,ROBO
10.0,,,ROBO
11.0,,,ROBO
12.0,,,ROBO
13.0,,,ROBO
14.0,,,ROBO
15.0,,,ROBO
16.0,,,ROBO
17.0,,,ROBO
18.0,,,ROBO
19.0,,,ROBO
20.0,,,ROBO
-15.0,,,ROBT
-14.0,,,ROBT
-13.0,,,ROBT
-12.0,,,ROBT
-11.0,,,ROBT
-10.0,,,ROBT
-9.0,,,ROBT
-8.0,,,ROBT
-7.0,,,ROBT
-6.0,,,ROBT
-5.0,,,ROBT
-4.0,,,ROBT
-3.0,,,ROBT
-2.0,,,ROBT
-1.0,,,ROBT
0.0,,,ROBT
1.0,,,ROBT
2.0,,,ROBT
3.0,,,ROBT
4.0,,,ROBT
5.0,,,ROBT
6.0,,,ROBT
7.0,,,ROBT
8.0,,,ROBT
9.0,,,ROBT
10.0,,,ROBT
11.0,,,ROBT
12.0,,,ROBT
13.0,,,ROBT
14.0,,,ROBT
15.0,,,ROBT
-1.0,,,SAMT
0.0,,,SAMT
1.0,,,SAMT
-11.0,0.19298210335995275,0.5932251466730083,SIXG
-10.0,-0.24755356206764148,0.46299818918630115,SIXG
-9.0,-0.0349310628036667,0.914176538082996,SIXG
-8.0,-0.16744931650934744,0.5845168076090258,SIXG
-7.0,-0.06289236503376228,0.8308654594749408,SIXG
-6.0,-0.22714610301029814,0.4155662332542341,SIXG
-5.0,,,SIXG
-4.0,,,SIXG
-3.0,,,SIXG
-2.0,,,SIXG
-1.0,,,SIXG
0.0,,,SIXG
1.0,,,SIXG
2.0,,,SIXG
3.0,,,SIXG
4.0,,,SIXG
5.0,,,SIXG
6.0,,,SIXG
7.0,,,SIXG
8.0,,,SIXG
9.0,,,SIXG
10.0,,,SIXG
11.0,,,SIXG
-20.0,,,SUSA
-19.0,,,SUSA
-18.0,,,SUSA
-17.0,,,SUSA
-16.0,,,SUSA
-15.0,,,SUSA
-14.0,,,SUSA
-13.0,,,SUSA
-12.0,,,SUSA
-11.0,,,SUSA
-10.0,,,SUSA
-9.0,,,SUSA
-8.0,,,SUSA
-7.0,,,SUSA
-6.0,,,SUSA
-5.0,,,SUSA
-4.0,,,SUSA
-3.0,,,SUSA
-2.0,,,SUSA
-1.0,,,SUSA
0.0,,,SUSA
1.0,,,SUSA
2.0,,,SUSA
3.0,,,SUSA
4.0,,,SUSA
5.0,,,SUSA
6.0,,,SUSA
7.0,,,SUSA
8.0,,,SUSA
9.0,,,SUSA
10.0,,,SUSA
11.0,,,SUSA
12.0,,,SUSA
13.0,,,SUSA
14.0,,,SUSA
15.0,,,SUSA
16.0,,,SUSA
17.0,,,SUSA
18.0,,,SUSA
19.0,,,SUSA
20.0,,,SUSA
-20.0,,,XT
-19.0,,,XT
-18.0,,,XT
-17.0,,,XT
-16.0,,,XT
-15.0,,,XT
-14.0,,,XT
-13.0,,,XT
-12.0,,,XT
-11.0,,,XT
-10.0,,,XT
-9.0,,,XT
-8.0,,,XT
-7.0,,,XT
-6.0,,,XT
-5.0,,,XT
-4.0,,,XT
-3.0,,,XT
-2.0,,,XT
-1.0,,,XT
0.0,,,XT
1.0,,,XT
2.0,,,XT
3.0,,,XT
4.0,,,XT
5.0,,,XT
6.0,,,XT
7.0,,,XT
8.0,,,XT
9.0,,,XT
10.0,,,XT
11.0,,,XT
12.0,,,XT
13.0,,,XT
14.0,,,XT
15.0,,,XT
16.0,,,XT
17.0,,,XT
18.0,,,XT
19.0,,,XT
20.0,,,XT
